epoch,phase,train_loss,train_acc,val_loss,val_acc,val_auc
1,1,0.5494273367197546,73.24124638612271,0.5425116332277419,72.29577816637521,0.8160914403550532
2,1,0.5316603847154199,73.78198950637113,0.4563305148529628,77.74169372970272,0.8166639972371406
3,1,0.5271795849277549,74.69750508619767,0.5055994879868295,74.84386709967525,0.8219137164107709
4,1,0.5192643850021166,75.21147874504764,0.5620960159197687,73.2700474644017,0.8236653507809155
5,1,0.5217472674095467,74.87953742370703,0.5206473325453107,74.01948538596054,0.827409225691448
6,2,0.4786186597935141,77.26737338044758,0.4823061391001656,76.917312015988,0.8711176782255349
7,2,0.44494311149193816,79.17335903201628,0.404094764874095,81.16412690482139,0.8755951695719355
8,2,0.42271156180394837,80.32979976442874,0.5039765238761902,73.99450412190856,0.8768904387469603
9,2,0.40251973649002104,81.64150337295213,0.45093695346325163,77.34199350487134,0.8755544131032762
10,2,0.38378482426784627,82.69086625977086,0.48090166019068825,79.0407194604047,0.8683247875837206
11,2,0.3612414765592715,84.1524788521255,0.5064819523739437,76.86734948788408,0.8679626270332652
12,2,0.34178608194095633,85.42670521469108,0.49417873022575226,77.44191856107919,0.8713153828498211
13,2,0.32805211043419086,85.91390941214263,0.5143133184266468,76.64251811141644,0.8576705461581308
14,2,0.29765492525870263,87.7449405717957,0.5220590295373566,82.06345241069198,0.8486959002567659
15,2,0.27335218174306497,88.74611842809723,0.5532930786647494,78.31626280289782,0.8449902792247119
