epoch,phase,train_loss,train_acc,val_loss,val_acc,val_auc
1,1,0.568971864164692,71.83317271656495,0.48440816951176474,75.71821134149388,0.8193741236465457
2,1,0.5460093759816803,72.75404218867116,0.48254086420176523,76.76742443167625,0.8251442028213486
3,1,0.5490807824040929,72.77010386551022,0.4612977026946961,77.84161878591057,0.8250146044012696
4,1,0.5378102451460819,73.15023021736803,0.458277195455536,77.06719960029977,0.8309031990967795
5,1,0.5395520428986582,73.1609380019274,0.5053872813781103,74.91881089183113,0.8266695315365689
6,2,0.4775693343875751,77.27272727272727,0.45789000173173255,76.31776167874095,0.8673559276708537
7,2,0.4480543073572933,79.17335903201628,0.414959548839501,79.01573819635273,0.877385594089883
8,2,0.4364511494665113,79.70339436770533,0.4420836703290069,76.64251811141644,0.8776590914453601
9,2,0.4145692508310488,80.87589677695685,0.5104684509218685,72.84536597551836,0.8761893559834428
10,2,0.39796227137621953,81.45947103544276,0.3978263004904702,81.13914564076943,0.8799300132780286
11,2,0.39100231360388943,82.46600278402398,0.4293160106513708,79.29053210092431,0.8795651713809508
12,2,0.3648454758198294,83.72416746975051,0.40307882327645544,81.61378965775668,0.8735809419892446
13,2,0.35418759717618764,84.73605311061141,0.4650237196612926,77.76667499375469,0.8660249072075311
14,2,0.3376756141421525,85.18578006210515,0.4615661853717433,78.09143142643018,0.8634340113445989
15,2,0.31124070525322467,86.66880822357854,0.46771349305553095,80.5146140394704,0.8720693775200189
16,2,0.2959738538842903,87.62180104936289,0.5044131969648694,79.6152885335998,0.8619778613722344
17,2,0.28980383010300464,87.86272620194882,0.4846913582453179,80.11491381463902,0.8670168267013502
